eval_id,eval_name,eval_dataset,eval_aug,eval_method,eval_K_fold,pretrain_id,pretrain_name,pretrain_dataset,pretrain_method,pretrain_aug,accuracies,backbone,K
5pk6jnyu,__finetune__rgz__mixed____pretrain__banner__dino__resnet18__e600__p256____K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,r55v8bjo,__pretrain__banner__dino__resnet18__e600__p256__,banner,dino,mixed,"[15.466667175292969, 16.94444465637207, 15.844444274902344]",resnet18,3
0i4urz95,__finetune__rgz__mixed__simclr_banner_aug_mixed_model_resnet50__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,u4crvqfs,simclr_banner_aug_mixed_model_resnet50,banner,simclr,mixed,"[18.844444274902344, 17.077777862548828, 16.955554962158203]",resnet50,3
y9pm32x1,__finetune__rgz__mixed__simclr_banner_aug_minmax_model_resnet50__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,4j8zhz46,simclr_banner_aug_minmax_model_resnet50,banner,simclr,minmax,"[17.755556106567383, 14.188889503479004, 16.72222328186035]",resnet50,3
exhgsaxh,__finetune__rgz__mixed____pretrain__banner__dino__mixed__vittiny__e600__p256__lr001__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,ef8jdr9u,__pretrain__banner__dino__mixed__vittiny__e600__p256__lr001,banner,dino,mixed,"[46.088890075683594, 39.56666564941406, 38.93333435058594]",vit_tiny,3
drq56oaz,__finetune__rgz__mixed____pretrain__banner__dino__mixed__vittiny__e600__p512__lr001__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,5mn08b62,__pretrain__banner__dino__mixed__vittiny__e600__p512__lr001,banner,dino,mixed,"[49.900001525878906, 33.20000076293945, 42.05555725097656]",vit_tiny,3
c1f0mfg2,__finetune__rgz__mixed____pretrain__banner__dino__mixed__vittiny__e600__p256____K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,6jz72oq3,__pretrain__banner__dino__mixed__vittiny__e600__p256__,banner,dino,mixed,"[16.66666603088379, 16.66666603088379, 16.66666603088379]",vit_tiny,3
q7eziiz0,__finetune__rgz__mixed____pretrain__banner__all4one__minmax__resnet18__e600__p512____K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,60ffbwwo,__pretrain__banner__all4one__minmax__resnet18__e600__p512__,banner,all4one,minmax,"[16.711111068725586, 16.61111068725586, 16.755556106567383]",resnet18,3
ckak11xd,__finetune__rgz__mixed____pretrain__banner__all4one__resnet18__600__512____K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,2h5n923y,__pretrain__banner__all4one__resnet18__600__512__,banner,all4one,mixed,"[16.600000381469727, 17.03333282470703, 16.399999618530273]",resnet18,3
gxt0t6vg,__finetune__rgz__mixed__byol_hulk_aug_mixed_model_resnet18__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,wgoatix7,byol_hulk_aug_mixed_model_resnet18,hulk,byol,mixed,"[13.866666793823242, 17.188888549804688, 14.744444847106934]",resnet18,3
dcrh5vk8,__finetune__rgz__mixed__byol_hulk_aug_mixed_model_resnet50__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,nlmcibmc,byol_hulk_aug_mixed_model_resnet50,hulk,byol,mixed,"[23.811111450195312, 21.211111068725586, 15.855555534362793]",resnet50,3
65rqqiov,__finetune__rgz__mixed__byol_hulk_aug_minmax_model_resnet50__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,h86uf9vr,byol_hulk_aug_minmax_model_resnet50,hulk,byol,minmax,"[16.311111450195312, 16.91111183166504, 16.77777862548828]",resnet50,3
2r67na6v,__finetune__rgz__mixed__byol_hulk_aug_minmax_model_resnet18__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,uja9qvb7,byol_hulk_aug_minmax_model_resnet18,hulk,byol,minmax,"[14.866666793823242, 12.144444465637207, 17.53333282470703]",resnet18,3
ymg92853,__finetune__rgz__minmax__simclr_banner_aug_mixed_model_resnet50__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,u4crvqfs,simclr_banner_aug_mixed_model_resnet50,banner,simclr,mixed,"[11.866666793823242, 15.066666603088379, 16.66666603088379]",resnet50,3
v3hjgma6,__finetune__rgz__minmax__swav-banner-mixed-resnet18-prot300-lr12-batch1024__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,t2dojrsg,swav-banner-mixed-resnet18-prot300-lr12-batch1024,banner,swav,mixed,"[16.66666603088379, 17.85555648803711, 17.011112213134766]",resnet18,3
b1sp5a80,__finetune__rgz__minmax__wmse-banner-mixed-resnet18-singlegpu__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,j9zyrugp,wmse-banner-mixed-resnet18-singlegpu,banner,wmse,mixed,"[17.544445037841797, 16.644445419311523, 17.144445419311523]",resnet18,3
7wsw2p4v,__finetune__rgz__mixed__byol_banner_aug_minmax_model_resnet50__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,xtulgzz6,byol_banner_aug_minmax_model_resnet50,banner,byol,minmax,"[15.88888931274414, 18.41111183166504, 16.66666603088379]",resnet50,3
kq90acua,__finetune__rgz__mixed__byol_banner_aug_mixed_model_resnet50_lr02__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,x21qga53,byol_banner_aug_mixed_model_resnet50_lr02_600epcs,banner,byol,mixed,"[17.85555648803711, 16.644445419311523, 17.811111450195312]",resnet50,3
xlwkcl8z,__finetune__rgz__minmax____pretrain__banner__dino__mixed__vittiny__e600__p256____K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,6jz72oq3,__pretrain__banner__dino__mixed__vittiny__e600__p256__,banner,dino,mixed,"[16.66666603088379, 16.66666603088379, 16.66666603088379]",vit_tiny,3
qy89nktr,__finetune__rgz__minmax____pretrain__banner__all4one__minmax__resnet18__e600__p512____K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,60ffbwwo,__pretrain__banner__all4one__minmax__resnet18__e600__p512__,banner,all4one,minmax,"[17.922222137451172, 16.77777862548828, 16.566667556762695]",resnet18,3
k8jj70cm,__finetune__rgz__minmax__simclr_banner_aug_mixed_model_resnet18__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,hljzzxvp,simclr_banner_aug_mixed_model_resnet18,banner,simclr,mixed,"[18.577777862548828, 16.66666603088379, 16.344444274902344]",resnet18,3
k52pv3zo,__finetune__rgz__minmax____pretrain__banner__dino__mixed__vittiny__e600__p256__lr001__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,ef8jdr9u,__pretrain__banner__dino__mixed__vittiny__e600__p256__lr001,banner,dino,mixed,"[30.255556106567383, 45.21111297607422, 35.344444274902344]",vit_tiny,3
ju2kah2j,__finetune__rgz__minmax____pretrain__banner__all4one__resnet18__600__512____K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,2h5n923y,__pretrain__banner__all4one__resnet18__600__512__,banner,all4one,mixed,"[16.455554962158203, 16.788888931274414, 18.744443893432617]",resnet18,3
b6zkhhra,__finetune__rgz__minmax____pretrain__banner__dino__mixed__vittiny__e600__p512__lr001__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,5mn08b62,__pretrain__banner__dino__mixed__vittiny__e600__p512__lr001,banner,dino,mixed,"[46.53333282470703, 41.61111068725586, 48.79999923706055]",vit_tiny,3
a0ds51wy,__finetune__rgz__minmax__byol_hulk_aug_minmax_model_resnet18__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,uja9qvb7,byol_hulk_aug_minmax_model_resnet18,hulk,byol,minmax,"[16.766666412353516, 15.199999809265137, 14.644444465637207]",resnet18,3
